company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
172,Aspinwall and Company Limited,ASPINWALL,NSE,EQ,SUCCESS,2025-12-02T20:35:49.408449+00:00
173,Astec LifeSciences Limited,ASTEC,NSE,EQ,SUCCESS,2025-12-02T20:35:50.191198+00:00
174,Aster DM Healthcare Limited,ASTERDM,NSE,EQ,SUCCESS,2025-12-02T20:35:50.855149+00:00
175,Astral Limited,ASTRAL,NSE,EQ,SUCCESS,2025-12-02T20:35:51.554253+00:00
176,Astra Microwave Products Limited,ASTRAMICRO,NSE,EQ,SUCCESS,2025-12-02T20:35:52.234075+00:00
177,AstraZeneca Pharma India Limited,ASTRAZEN,NSE,EQ,SUCCESS,2025-12-02T20:35:52.910053+00:00
178,Astron Paper & Board Mill Limited,ASTRON,NSE,EQ,SUCCESS,2025-12-02T20:35:53.692646+00:00
179,Atal Realtech Limited,ATALREAL,NSE,EQ,SUCCESS,2025-12-02T20:35:54.396230+00:00
180,Atam Valves Limited,ATAM,NSE,EQ,SUCCESS,2025-12-02T20:35:55.123936+00:00
181,Agro Tech Foods Limited,ATFL,NSE,EQ,SUCCESS,2025-12-02T20:36:48.781673+00:00
182,Adani Total Gas Limited,ATGL,NSE,EQ,SUCCESS,2025-12-02T20:36:49.560078+00:00
183,Allcargo Terminals Limited,ATL,NSE,EQ,SUCCESS,2025-12-02T20:36:50.293934+00:00
184,ATLANTAA LIMITED,ATLANTAA,NSE,EQ,SUCCESS,2025-12-02T20:36:51.013027+00:00
185,Atlas Cycles (Haryana) Limited,ATLASCYCLE,NSE,EQ,SUCCESS,2025-12-02T20:36:51.679339+00:00
186,Atul Limited,ATUL,NSE,EQ,SUCCESS,2025-12-02T20:36:52.461821+00:00
187,Atul Auto Limited,ATULAUTO,NSE,EQ,SUCCESS,2025-12-02T20:36:53.268004+00:00
188,AU Small Finance Bank Limited,AUBANK,NSE,EQ,SUCCESS,2025-12-02T20:36:54.033138+00:00
189,Aurionpro Solutions Limited,AURIONPRO,NSE,EQ,SUCCESS,2025-12-02T20:36:54.684780+00:00
190,Aurobindo Pharma Limited,AUROPHARMA,NSE,EQ,SUCCESS,2025-12-02T20:36:55.354264+00:00
191,Aurum PropTech Limited,AURUM,NSE,EQ,SUCCESS,2025-12-02T20:37:48.864497+00:00
192,Ausom Enterprise Limited,AUSOMENT,NSE,EQ,SUCCESS,2025-12-02T20:37:49.720736+00:00
193,Automotive Axles Limited,AUTOAXLES,NSE,EQ,SUCCESS,2025-12-02T20:37:50.678391+00:00
194,Autoline Industries Limited,AUTOIND,NSE,EQ,SUCCESS,2025-12-02T20:37:51.564598+00:00
